gene,bootstrap_ratio
HIST1H4J,-3.98365727619
HSPB6,-3.98611124668
RNF26,-3.99047927526
DENND4A,-3.99447055486
FAM95A,-3.99494670735
CCDC12,-3.99622504577
RNPEP,-3.9973001055
ZWILCH,-3.99868270376
HIST1H1A,-3.99942221083
APPBP2,-4.0012609496
USHBP1,-4.00342131606
TRIM32,-4.0054031745
SGO2,-4.01021419175
CD27-AS1,-4.01037589759
SLC4A10,-4.01693894873
GPATCH8,-4.0171527689
DPY19L2P1,-4.01795167907
STX1B,-4.02149669407
RMI1,-4.02218799502
KLHDC2,-4.02269956572
ARHGAP27P1,-4.02576616745
CABP1,-4.03095172722
VSTM2A,-4.0313874423
PTCHD4,-4.03865908877
PLCD4,-4.04329048118
VPS41,-4.04348338026
RPIA,-4.04381954733
RABGEF1,-4.04430253665
ZNF584,-4.04474635046
LYG1,-4.05031921748
CELF2,-4.05096397398
MAX,-4.05341191864
CNTRL,-4.05368588716
P2RX4,-4.05851990741
KDM5D,-4.06204070653
DCLRE1A,-4.0681574898
RNF34,-4.06868320347
PDIA5,-4.0694025223
BRINP1,-4.07115756818
RBM22,-4.07172217936
H2AFZ,-4.07426982234
ELF2,-4.07493226804
CLUHP3,-4.07584857984
VCPIP1,-4.07722393792
PHKG2,-4.07726630945
DAPK3,-4.0779198016
RBFOX1,-4.0812468871
BIN3-IT1,-4.08374941973
ZBED9,-4.08489499957
PEX13,-4.08689755455
WHAMMP3,-4.08761493998
CRYGS,-4.08762339218
CNNM1,-4.08811711054
LINC00476,-4.09159893242
LOC100505938,-4.0916493424
ALG3,-4.09307191962
SPTSSB,-4.09544391069
CARMIL2,-4.09757609875
EPB41L3,-4.09761022854
HMBS,-4.09800623736
CBLN4,-4.09881667405
ZRANB2,-4.10031607547
PPP2R5B,-4.1021350089
HIST4H4,-4.10338571263
MRPL58,-4.11069482586
ASPSCR1,-4.11575434218
P3H1,-4.11599386339
PPME1,-4.11860934074
ZNF511,-4.1286807443
ZNF180,-4.12970849955
RLN3,-4.13051354356
CACNA1D,-4.13204764789
PDE7A,-4.13299259126
JRK,-4.13746227716
ZNF540,-4.13797164147
RFPL3S,-4.14080602677
MICU3,-4.14205006029
CTNNA1,-4.14754628474
SACS,-4.1479753229
ADGRA1,-4.14834691444
TMEM169,-4.15005313787
CCDC59,-4.1507983683
ANKRD9,-4.15700902715
PCDHB15,-4.160543773
GPR137C,-4.16103340464
MGP,-4.16134314291
P3H3,-4.16202433231
RPGR,-4.16211650809
ERICH5,-4.16851283632
SLC4A9,-4.16898857795
LPGAT1,-4.17162695131
XBP1,-4.17197151213
KAT8,-4.1730363596
SARS2,-4.17545340117
ARFGAP1,-4.1755371857
BOD1L1,-4.17583800478
ST3GAL6,-4.17758733803
ZFP69B,-4.17815511009
NR1D1,-4.18048527113
ABTB1,-4.18337725394
TMEM161A,-4.18418078236
TAF4B,-4.18488987493
RNF168,-4.18620833549
MACROD1,-4.18702625681
FKRP,-4.18990437711
HOOK1,-4.19411717518
ZNF79,-4.19753643728
ATAD5,-4.19787113164
LOC100506124,-4.19949985053
CAMSAP3,-4.19987314177
PBX3,-4.2010331094
ANKZF1,-4.20151793608
PTPRD,-4.20163941812
ZCCHC10,-4.20458852054
EPHA5,-4.20479643536
YEATS4,-4.20493593852
ISM1,-4.21134124341
TAF5L,-4.21138487418
NDUFA4,-4.21387673317
ANKH,-4.21531506071
TENM4,-4.2160215368
GARS,-4.21798850243
LINC00652,-4.21949935777
ICA1,-4.21964567008
HYDIN2,-4.22055035161
SSX2IP,-4.22407063791
CCER2,-4.22502867983
CNFN,-4.22713515166
MIOS,-4.233499649
KCNC3,-4.24282350005
LOC389906,-4.24672912228
CHCHD7,-4.24719670425
HSPBAP1,-4.24817199127
RALY,-4.2493915022
U2AF1L4,-4.25014623938
PRKAG2-AS1,-4.2522989906
GSTT1,-4.25236905152
UVRAG,-4.25382949559
ADO,-4.25828663804
ANKRD36B,-4.26144461101
KLC4,-4.26299119869
NRG4,-4.26598767028
WFDC2,-4.26741238739
SPOPL,-4.26908964204
LOC730098,-4.27034816412
LIN28B,-4.27192811284
HDAC8,-4.2725547023
TARS,-4.27289259539
ANKS1B,-4.27305269215
ITPA,-4.27331883428
EPHA3,-4.27426455074
ISPD,-4.27461118699
MRM2,-4.27534038359
ASAH2,-4.27978261143
KCNC1,-4.28076845896
SPAG4,-4.28206369427
TIFA,-4.28714295141
ZNF132,-4.29162805365
POU6F2,-4.29776644996
MTMR14,-4.29857530785
