gene,bootstrap_ratio
CAMTA1,5.45219775857
CRIP2,5.44946727551
YWHAEP1,5.44862988758
PREB,5.44779752976
ASB2,5.44771042713
ZDHHC7,5.4466614599
HSPD1,5.43763691168
FAR2P1,5.43651152753
SC5D,5.43422840008
FAM129A,5.42735164349
RAVER2,5.42376853923
DEFB124,5.42296669259
PKN1,5.4217452341
TBC1D14,5.42026143862
RASSF3,5.41758510219
DENR,5.41658574118
NOVA2,5.41460434598
SDC4,5.41138626838
SLC7A6OS,5.41104056638
TMEM42,5.40710785615
TMEM208,5.40080012476
DYDC2,5.39538532828
FXYD1,5.39302527066
IQCK,5.39179493546
LHFPL6,5.38633366143
EXOC4,5.38573034224
MRC1,5.38385490362
FAM181B,5.38230301587
HYDIN,5.38074909345
MASP1,5.37981040779
TP53BP2,5.37947016849
STK17B,5.3778362261
NCSTN,5.37413862275
LARGE1,5.37322147821
SERP1,5.37284904203
PDGFC,5.37282296236
RNF5P1,5.37263134425
STAB1,5.3703599067
CDCA7,5.36807249703
MPDZ,5.36686615626
TMEM136,5.36588125328
TMBIM1,5.36198349756
ENOPH1,5.35919610462
WRB,5.35413200559
RREB1,5.35182886088
DAP3,5.34742906404
MYDGF,5.34646048415
KCTD10,5.3464251544
LRP10,5.33923420115
PPEF1,5.33921031917
MORN5,5.33484942137
CMAS,5.33327887505
PLXNC1,5.32822808138
ADGRV1,5.32754079892
MYL6,5.32667432689
SLC16A9,5.32656823716
LOC100506125,5.32317951288
TCP1,5.32215034541
SAT1,5.32103856239
EFEMP2,5.31993409287
LOC105374546,5.31809484174
PBXIP1,5.31794638542
RDH10,5.31493901958
CD248,5.31491033882
FGFR1,5.31224697028
C12orf45,5.31038978431
SEPHS1,5.31005163067
MARK1,5.30480027664
LOC441052,5.30344135265
KCNMB4,5.30235320739
IDI1,5.30038934981
FUT10,5.29741956519
HEPACAM,5.2949897779
RAPSN,5.29266576195
NINL,5.29140723424
S1PR1,5.29101194923
SIDT2,5.29018394095
OAZ3,5.28829030803
TMEM198B,5.28630891
SLC17A7,5.28357299236
SLC25A23,5.28074652327
NEUROD6,5.2781104913
MT3,5.2768224726
RBM8A,5.2743943889
DNASE1L1,5.26896389082
GPRC5C,5.26872079992
SCUBE2,5.26618178271
METTL8,5.26449291874
GPD2,5.26292216548
GLOD4,5.26060620351
CIB2,5.25684730555
SULT1C4,5.25509905612
KLF8,5.25501340785
MT1X,5.25439327857
RNF135,5.25311453237
SNRNP27,5.24817451641
SCRG1,5.24717615184
GSTM1,5.24649788786
UFD1,5.24481928007
ERLIN2,5.24197595311
GLUD1,5.23493414748
TSTD1,5.23146210679
TMA7,5.23121148739
SRP14,5.22815862792
HCG23,5.22803543348
TCEAL9,5.22701163015
ATOH7,5.22644947451
LINC02482,5.22632969275
KCNA3,5.22621352962
AIG1,5.22505564576
PLPP3,5.22176687264
SLC5A2,5.21827893788
TP53BP1,5.21787239461
PTPRN2,5.21566334959
TEX9,5.21347158404
ALKAL2,5.21251871238
AQP6,5.21105369188
LOC100506544,5.21073297425
G6PC3,5.20911639765
CCBE1,5.20468852564
RAB8B,5.20308408956
RAB39A,5.20265991522
ZPR1,5.20153800949
PLCD3,5.20062179895
MAOB,5.19836678618
FTHL17,5.19636089848
ASCL2,5.19556122748
NUTF2,5.19237776676
SSR3,5.18718955963
VWA3A,5.1864152779
PXDC1,5.18056092312
ICE1,5.17728159477
SYNRG,5.17528035716
FBXW4,5.17191318366
PROS1,5.16957129916
P2RY1,5.16353378136
CTSH,5.16346022873
FAM86FP,5.16284612907
PPM1N,5.16159218962
GOLM1,5.15410642972
SLC7A7,5.15137791282
GNB2,5.15018013298
ITM2C,5.1498681837
MSI2,5.14960963788
MYOM1,5.14860142303
CDKN2D,5.14612324281
GPR25,5.14561556583
FAM110C,5.14076474939
SPATA1,5.13921714046
SIRT3,5.13604368561
HES5,5.1332550938
GNA13,5.13009705495
CAPS,5.12928535735
SMPD1,5.12344135994
TGFB2,5.11811805329
NSDHL,5.1117591484
KIF1A,5.0983384283
ANOS1,5.09757449501
SEC22C,5.09728067287
PLIN5,5.09480278244
GABRA3,5.09159186883
DTYMK,5.09097113698
SRI,5.09001029645
YAP1,5.08871457486
TPTEP1,5.08741844545
JMJD4,5.08638385608
GPR17,5.08436321077
FYCO1,5.0835525094
ME2,5.08350714151
MAP1LC3A,5.08194791848
AZIN2,5.08094793223
